و,o
خوبانی,xubɔːniː
خوشگل‌تر,xoʃɡeltæɾ
خوشگل‌ترین,xoʃɡeltæɾiːn
خیم,xiːm
خەر,xæːɾ
دادار,dɒːdɒːr
دارفلفل,dɑːɾfilfil
دراییدن,daɾɑːjiːdan
درمنه,deɾæmne~deɾmæne
درودن,doɾuːdæn
دروغ‌ها,doɾuːɣhɒː
دریدن,daɾidan
دستکند,dastkand
دلگیری,delɡiːɾiː
دمبک,dombæk
دنیدن,dæniːdæn
دوجنس‌گرا,dod͡ʒensɡæɾɒː
دگرجنس‌گرا,deɡæɾd͡ʒensɡæɾɒː
دیسال,disɔːl
دیسک‌ها,diːskhɒː
دین‌داری,dindɔːɾiː
دیهیم,dayhim~deyhim
دیوشناسی,devʃinɔːsiː
رتیل,ɾotejl
رختن,rextæn
رسانیدن,ɾasɑːniːdan
رستن,ɾostæn
رستورانت,rastuːɾɑːnt
رستورانت‌ها,rastuːɾɑːnthɑː
رفدن,ɾafdan
رندیدن,ɾandidan
رودابه,ɾuːdɒːbe
رولوسیون,ɾevoluːsijon
رولوسیونر,ɾevoluːsijoneɾ
ریدک,rejdæk
زمی,zmiː
زنخ,zanax
زوبین,zoːbiːn
زوجیت,zavd͡ʒijat
زورق,zowɾaq
زوو,zvoː
زیبیدن,zebidan
سامانه‌ها,sɒːmɒːnehɒː
ساکاستان,sɑːkɑːstɑːn
ستاره‌شناس,setɒːɾeʃenɒːs
ستبر,setʰæbɾ
سختن,soxtæn
سرجوخه,saɾd͡ʒuxa
سرندیپ,sarandiːp
سریدن,soɾiːdæn
سنبه,sombe
سنبوسه,samboːsa
سنت‌ها,sonæthɒː
سهاسکرت,səhɑːskɪɾt
سهی,sahiː
سوخ,soːx
سورپریز,surpiɾiz
سپندان,sepændɒːn
سیاح,sajjɑːh
سیاره‌ها,sæjjɒːɾehɒː
سیاه‌گوش,sijɒːhɡoːʃ
سیلابی,sajlɑːbeː
سیلاس,siːlɒːs
سیلو,silu
شاه‌دانه,ʃɑːhdɑːna
شب‌بو,ʃabboː
شترخار,ʃotoɾxɒːɾ
شترغار,ʃotoɾɢɒːɾ
شغال‌ها,ʃoɣɒːlɒː
شلوغ‌تر,ʃoluːɣtæɾ
شلوغ‌ترین,ʃoluːɣtæɾiːn
شماریدن,ʃomɒːɾiːdæn
شمعدان,ʃamʔdɑːn
شهنشاه,ʃahanʃɑːh
شوریدن,ʃoːɾiːdan
شپش‌ها,ʃepeʃhɒː
شکافتن,ʃekɒːftæn
شکال,ʃekɒːl
شکستنی,ʃikæst̪æniː
شکسته‌نستعلیق,ʃekæstenæstæʔliːɢ
شکیفتن,ʃekiːftæn
شیرین‌تر,ʃiːɾiːntæɾ
شیرین‌ترین,ʃiːɾiːntæɾiːn
شینواری,ʃiːnvɒːɾiː
صهیونی,sahjuniː
ض,dwɑːd
ضدقهرمان,zeddeɢæhɾæmɒːn
ضدماهواره,zeddemɒːhvɒːɾe
طره,toɾɾe
طمطراق,tomtoɾɒːɢ
عام‌المنفعه,ʔɒːmolmænfæʔe
عباء,abɒː
عجیب‌تر,ædʒiːbtæɾ
عجیب‌ترین,ædʒiːbtæɾiːn
عضوها,ozvhɒ
غره,ɢæɾɾe
غمگینی,ɢæmɡiːniː
غژب,ɢoʒb
ـیسم,ism
فرارود,faɾɑːɾuːd
فراموشیدن,fæɾɒːmuːʃiːd̪æn
فرزندخوانده,faɾzandxɒːnda
فصیح,faseh
فضازمان,fazɑːzamɑːn
فلاخن,fælɒːxæn
فکاهی,fokɒːhiː
قربک,qoɾbæk
قرغیزستان,qɪɾɣiːzɪstɒːn
قلمدان,qalamdɑːn
لبی,læbiː
لنگی,lʊnɡiː
لهذا,lehɒːzɒː
لوترا,lutɾɔː
لوز,lavz
مادیان,mɒːdii̯ɒːn
مازریون,mɑːzaɾjoːn
مازوج,mɑːzuːd͡ʒ
ماوراءالنهر,mɑːwaɾɑːʔunnahɾ
مرخ,maɾx
مردم‌شناس,maɾdumʃinɑːs
مرغاب,moɾɢɒːb
مرغ‌ها,moɾɣhɒː
مرمی,maɾmiː
مروزی,mæɾveziː
مرچ,moɾtʃ
مزنه,mozne
مشکل‌تر,moʃkeltæɾ
مشکل‌ترین,moʃkeltæɾiːn
مشکل‌ها,moʃkelhɒː
مله,mælæ
موسیقی‌شناسی,musiqiʃinɔːsiː
مومیا,moːmijɒː
میرنده,miɾanda
نارگیله,nɑːɾɡiːla
نالان,nɒːlɒːn
نالون,nɒːluːn
نانوائی,nɑːnwɑːjeː
ناوخدا,nɒːvxodɒː
ناپاز,nɑːpɑːz
ناژو,nɑːʒuː
نجس‌تر,nædʒæstæɾ
نجس‌ترین,nædʒæstæɾiːn
نذل,nazl
نشلیدن,neʃeliːdæn
نشور,noʃuːɾ
نمکدان,namakdɑːn
نمکین,namakin
نهور,nohuːɾ
نومد,nowmad
نیفه,nefa
هرزگی,haɾzaɡiː
هشتن,heʃtæn
همجنس‌گراهراس,hamd͡ʒinsɡaɾɑːhaɾɑːs
همساده,homsɒːde
همسده,hæmsedæ
وروجک,voɾuːd͡ʒækʲ
وشم,vaʃm
ویه,uːje
پتلون,patluːn
پرتوقع,poɾtævæɢɢoʔ
پررونق,poɾɾownæɢ
پرندوش,paɾandoːʃ
پرنگ,peɾenɡ
پروگرام,peɾoɡeɾɒːm
پسی,poseː
پشمین,pæʃmiːn
پوده,puːdæ
پوست‌شناسی,poːstʃinɑːsiː
پوپک,poːpak
پیغامبر,pajɣɑːmbaɾ
پیوسیدن,pajoːsiːdan
چاه‌کور,t͡ʃɑːhkawɾ
چرمه,t͡ʃaɾma
چلوکباب,t͡ʃelowkabɒːb
چوپ,t͡ʃoːp
چوکی,tʃawkiː
ژ,ʒ
ژرف‌تر,ʒæɾftæɾ
ژرف‌ترین,ʒæɾftæɾiːn
ژغار,ʒaɣɑːɾ
ژولیدن,ʒuːliːdæn
ژیرش,ʒiɾiʃ
ڤ,β
کارواژه‌ها,kɒːrvɒːʒehɒː
کارواژگان,kɒːrvɒːʒeɡɒːn
کارورزی,kɒːɾvæɾziː
کاریز,kɑːɾeːz
کالب,kɒːleb
کاکوتی,kɑːkuːtiː
کرس,keɾs
کرشن,kɾiʃn
کشکول,kæʃkuːl
کفگیر,kafɡiɾ
کلپ,klæp
کلیچه,koliːt͡ʃe
کماشیر,kamɑːʃeːɾ
کمو,kæmuː
کم‌مایه,kammɑːja
کنشت,keneʃt
کیوبیک,kwəbɛk
کیچه,kʰiːt͡ʃʰe
گاش,ɡɒːʃ
گربسن,ɡerbesæn
گرختن,ɡoɾeːxtæn
گرزمان,ɡæɾæzmɒːn
گزاردن,ɡozɒːɾdæn
گزاف‌تر,ɡæzɒːftæɾ
گزاف‌ترین,ɡæzɒːftæɾiːn
گستردن,ɡostæɾdæn
گسستن,ɡosæstæn
گشادی,ɡoʃɒːdiː
گلپر,ɡolpæɾ
گلچه,ɡolt͡ʃe
گنم,ɡenom
گواران,ɡʷaːɾaːn
گواشتن,ɡovɒːʃtæn
گیک,ɡiːk
یاساء,jɒːsɒːʔ
یاکند,jɑːkand
یشم,jaʃm
