равняются,rɐvnʲæjʊt͡sə
тильды,tʲilʲdɨ
озираться,ɐzʲɪrat͡sːə
затратил,zɐtratʲɪɫ
дулею,dulʲɪjʊ
грянь,ɡrʲænʲ
перегонит,pʲɪrʲɪɡonʲɪt
ремонтируются,rʲɪmɐnʲtʲirʊjʊt͡sə
подарит,pɐdarʲɪt
набьются,nɐb⁽ʲ⁾jut͡sːə
размечи,rəzmʲɪt͡ɕi
вступлением,fstʊplʲenʲɪjɪm
сырки,sɨrkʲi
наркодилерам,nərkɐdʲilʲɪrəm
мельтеша,mʲɪlʲtʲɪʂa
прапрапрабабушка,prəprəprɐbabʊʂkə
микроволною,mʲikrəvɐɫnojʊ
говядинах,ɡɐvʲædʲɪnəx
тендер,tɛndɨr
мата,matə
пологах,poɫəɡəx
перепевши,pʲɪrʲɪpʲefʂɨ
рассеялись,rɐsʲːejɪlʲɪsʲ
светлячков,svʲɪtlʲɪt͡ɕkof
распахнутся,rəspɐxnut͡sːə
конфискуем,kənfʲɪskujɪm
авиацией,ɐvʲɪat͡sɨjɪj
амузией,ɐmʊzʲijɪj
специализм,spʲɪt͡sɨɐlʲizm
чёртик,t͡ɕɵrtʲɪk
справкою,sprafkəjʊ
безделушку,bʲɪzʲdʲɪɫuʂkʊ
лавке,ɫafkʲe
рассекретил,rəsʲːɪkrʲetʲɪɫ
абаданками,ɐbɐdankəmʲɪ
курицу,kurʲɪt͡sʊ
жестей,ʐɛsʲtʲɪj
швартовавший,ʂvərtɐvafʂɨj
дубненца,dʊbnʲent͡sə
издатель,ɪzdatʲɪlʲ
укольчик,ʊkolʲt͡ɕɪk
вожатому,vɐʐatəmʊ
наклеивший,nɐklʲeɪfʂɨj
откроили,ɐtkrɐilʲɪ
двухсотые,dvʊxsotɨje
сотрясаете,sətrʲɪsajɪtʲe
афелием,ɐfʲelʲɪjɪm
тысячей,tɨsʲɪt͡ɕɪj
ежах,jɪʐax
ульев,ulʲjɪf
замазали,zɐmazəlʲɪ
ретвитнувши,rʲɪtvʲitnʊfʂɨ
вцепитесь,ft͡sɛpʲɪtʲɪsʲ
чайке,t͡ɕæjkʲe
тушёнка,tʊʂonkə
осення,ɐsʲenʲːə
запомнилась,zɐpomnʲɪɫəsʲ
трансмиссий,trɐnsmʲisʲːɪj
обложившийся,ɐbɫɐʐɨfʂɨjsʲə
саундтреков,saʊntrɨkof
осеменениях,ɐsʲɪmʲɪnʲenʲɪjəx
взбегут,vzbʲɪɡut
синдицирование,sʲɪnʲdʲɪt͡sɨrəvənʲɪje
колбаске,kɐɫbaskʲe
абреке,ɐbrɛkʲe
фраки,frakʲɪ
самоорганизациями,səmɐɐrɡənʲɪzat͡sɨjəmʲɪ
объезжала,ɐbjɪʐːaɫə
приближая,prʲɪblʲɪʐajə
мелировал,mʲɪlʲirəvəɫ
патологоанатомии,pɐtoɫəɡɐɐnɐtomʲɪɪ
урчал,ʊrt͡ɕaɫ
подрастай,pədrɐstaj
ватерами,vatɨrəmʲɪ
бизоне,bʲɪzonʲe
стырили,stɨrʲɪlʲɪ
достоянием,dəstɐjænʲɪjɪm
упрочения,ʊprot͡ɕɪnʲɪjə
подгорело,pədɡɐrʲeɫə
распыли,rəspɨlʲi
забинтуй,zəbʲɪntuj
раздались,rɐzdalʲɪsʲ
кардиограмму,kərdʲɪɐɡramːʊ
овсянками,ɐfsʲankəmʲɪ
горизонты,ɡərʲɪzontɨ
вламываюсь,vɫamɨvəjʉsʲ
пролетели,prəlʲɪtʲelʲɪ
отыскав,ɐtɨskaf
усиливаются,ʊsʲilʲɪvəjʊt͡sə
сандвиче,sandvʲɪt͡ɕe
спреям,sprʲejəm
кукарекай,kʊkɐrʲekəj
отлежало,ɐtlʲɪʐaɫə
дамкою,damkəjʊ
артистки,ɐrtʲistkʲɪ
аргументируют,ɐrɡʊmʲɪnʲtʲirʊjʊt
юпитерам,jʉpʲɪtʲɪram
пёрдну,pʲɵrnʊ
шинельных,ʂɨnʲelʲnɨx
смущённо,smʊɕːɵnːə
бочаров,bət͡ɕɪrof
пилотами,pʲɪɫotəmʲɪ
руководствовалась,rʊkɐvot͡stvəvəɫəsʲ
петухам,pʲɪtʊxam
волохи,vɐɫoxʲɪ
полке,poɫkʲe
рюшем,rʲuʂɨm
спрогнозировала,sprəɡnɐzʲirəvəɫə
бабулька,bɐbulʲkə
свешивайте,svʲeʂɨvəjtʲe
утешался,ʊtʲɪʂaɫs⁽ʲ⁾ə
перекладывающий,pʲɪrʲɪkɫadɨvəjʉɕːɪj
спиздят,spʲɪzʲdʲat
фалломорфирует,faɫəmɐrfʲirʊjɪt
мастер,masʲtʲɪr
падишахам,pədʲɪʂaxəm
мешочек,mʲɪʂot͡ɕɪk
момордикам,mɐmordʲɪkəm
сгрудившись,zɡrʊdʲifʂɨsʲ
печеньях,pʲɪt͡ɕenʲjəx
абсолютизированиях,ɐpsəlʲʉtʲɪzʲirəvənʲɪjəx
аамам,ɐaməm
чащоба,t͡ɕɪɕːɵbə
причесал,prʲɪt͡ɕɪsaɫ
жердях,ʐɨrdʲax
засоряй,zəsɐrʲæj
шкоду,ʂkodʊ
проползала,prɐpoɫzəɫə
прялками,prʲaɫkəmʲɪ
десятые,dʲɪsʲatɨje
картографами,kɐrtoɡrəfəmʲɪ
втягиваются,ftʲæɡʲɪvəjʊt͡sə
потянем,pɐtʲænʲɪm
напутствии,nɐput͡stvʲɪɪ
замечавший,zəmʲɪt͡ɕafʂɨj
облегчай,ɐblʲɪxt͡ɕæj
прилавку,prʲɪɫafkʊ
обжинаете,ɐbʐɨnajɪtʲe
виноградина,vʲɪnɐɡradʲɪnə
устранялось,ʊstrɐnʲaɫəsʲ
атаковавши,ɐtəkɐvafʂɨ
возместивши,vəzmʲɪsʲtʲifʂɨ
обвисши,ɐbvʲiʂːɨ
закусывая,zɐkusɨvəjə
башенка,baʂɨnkə
противилась,prɐtʲivʲɪɫəsʲ
шнобеле,ʂnobʲɪlʲe
уклеек,ʊklʲejɪk
красильщик,krɐsʲilʲɕːɪk
увьются,ʊv⁽ʲ⁾jut͡sːə
грузилом,ɡrʊzʲiɫəm
раздваивали,rɐzdvaɪvəlʲɪ
размахивавшись,rɐzmaxʲɪvəfʂɨsʲ
смотрит,smotrʲɪt
скрябал,skrʲabəɫ
толкованиями,təɫkɐvanʲɪjəmʲɪ
заправят,zɐpravʲət
смутьяны,smʊtʲjanɨ
свае,svaje
панихидам,pənʲɪxʲidəm
патрон,pɐtron
пресвитерианину,prʲɪsvʲɪtɨrʲɪanʲɪnʊ
столкнётесь,stɐɫknʲɵtʲɪsʲ
штабу,ʂtabʊ
трескообразными,trʲɪskɐɐbraznɨmʲɪ
воссоединениям,vəsːəjɪdʲɪnʲenʲɪjəm
метаязык,mʲɪtəjɪzɨk
пауза,paʊzə
распрямляются,rəsprʲɪmlʲæjʊt͡sə
водолазе,vədɐɫazʲe
градуса,ɡradʊsə
накладываюсь,nɐkɫadɨvəjʉsʲ
центристах,t͡sɨntrʲistəx
прощению,prɐɕːenʲɪjʊ
коммерциализировав,kəmʲɪrt͡sɨəlʲɪzʲirəvəf
сапфирами,sɐpfʲirəmʲɪ
гольфам,ɡolʲfəm
сплачивали,spɫat͡ɕɪvəlʲɪ
бронхитов,brɐnxʲitəf
кодировки,kədʲɪrofkʲɪ
дописывав,dɐpʲisɨvəf
цистерн,t͡sɨsʲtʲern
слаломом,sɫaɫəməm
градин,ɡradʲɪn
тупим,tʊpʲim
вдохновят,vdəxnɐvʲat
господствуете,ɡɐspot͡stvʊjɪtʲe
пойнтерах,pəjntɨrax
храбрый,xrabrɨj
распевку,rɐspʲefkʊ
расчёсывавший,rɐɕːɵsɨvəfʂɨj
бабусей,bɐbusʲɪj
светляку,svʲɪtlʲɪku
кладезем,kɫadʲɪzʲɪm
иерархиями,ɪjɪrarxʲɪjəmʲɪ
поблёскивавши,pɐblʲɵskʲɪvəfʂɨ
железно,ʐɨlʲeznə
спуская,spʊskajə
просвечиваю,prɐsvʲet͡ɕɪvəjʊ
касается,kɐsajɪt͡sə
предавали,prʲɪdɐvalʲɪ
отмеривая,ɐtmʲerʲɪvəjə
разам,rɐzam
губил,ɡʊbʲiɫ
исполнявшись,ɪspɐɫnʲafʂɨsʲ
щелочами,ɕːɪɫɐt͡ɕæmʲɪ
потлачам,potɫət͡ɕəm
отключаетесь,ɐtklʲʉt͡ɕæjɪtʲɪsʲ
зондировать,zɐnʲdʲirəvətʲ
прорывавший,prərɨvafʂɨj
проиграл,prəɪɡraɫ
пиздячьте,pʲɪzʲdʲæt͡ɕtʲe
комарих,kəmɐrʲix
скопящий,skɐpʲæɕːɪj
употребление,ʊpətrʲɪblʲenʲɪje
обесчесть,ɐbʲɪɕt͡ɕesʲtʲ
сливаешься,s⁽ʲ⁾lʲɪvajɪʂsʲə
выведали,vɨvʲɪdəlʲɪ
репрессировав,rʲɪprʲɪsʲirəvəf
запозданиями,zəpɐzdanʲɪjəmʲɪ
выдержали,vɨdʲɪrʐəlʲɪ
замучай,zɐmut͡ɕɪj
примащивается,prʲɪmaɕːɪvəjɪt͡sə
смаге,smaɡʲe
изъяснившийся,ɪzjɪsʲnʲifʂɨjsʲə
симфониях,sʲɪmfonʲɪjəx
фазане,fɐzanʲe
угощали,ʊɡɐɕːælʲɪ
недостало,nʲɪdɐstaɫə
богач,bɐɡat͡ɕ
кондиционеру,kənʲdʲɪt͡sɐnʲerʊ
изъянах,ɪzjanəx
клошарам,kɫɐʂarəm
отставливав,ɐt͡sstavlʲɪvəf
воздухам,vozdʊxəm
зарывав,zərɨvaf
дополнивший,dɐpoɫnʲɪfʂɨj
подковывавший,pɐtkovɨvəfʂɨj
агрессоре,ɐɡrʲesːərʲe
напёрстки,nɐpʲɵrstkʲɪ
карнаю,kɐrnajʊ
прокруткою,prɐkrutkəjʊ
лакирую,ɫəkʲɪrujʊ
поругать,pərʊɡatʲ
абесом,ɐbʲesəm
размявши,rɐzmʲafʂɨ
скрубберами,skrubʲɪrəmʲɪ
скребущийся,skrʲɪbuɕːɪjsʲə
книжечек,knʲiʐɨt͡ɕɪk
рассудить,rəsːʊdʲitʲ
свирепость,svʲɪrʲepəsʲtʲ
включись,fklʲʉt͡ɕisʲ
временщика,vrʲɪmʲɪnʲɕːɪka
предвидеться,prʲɪdvʲidʲɪt͡sə
брюшков,brʲʊʂkof
крутануть,krʊtɐnutʲ
эрцгерцоги,ɪrd͡zɡʲert͡səɡʲɪ
эмалируй,ɪməlʲɪruj
швартовах,ʂvɐrtovəx
смяла,smʲaɫə
взобравшись,vzɐbrafʂɨsʲ
увеличиваются,ʊvʲɪlʲit͡ɕɪvəjʊt͡sə
различали,rəz⁽ʲ⁾lʲɪt͡ɕælʲɪ
шнура,ʂnʊra
растери,rɐsʲtʲerʲɪ
раскраснейся,rəskrɐsʲnʲejsʲə
выносящий,vɨnɐsʲæɕːɪj
дворянств,dvɐrʲanstf
бактериологам,bəktɨrʲɪoɫəɡəm
моток,mɐtok
ослихах,ɐs⁽ʲ⁾lʲixəx
прядаем,prʲadəjɪm
фаллоимитаторам,faɫəɪmʲɪtatərəm
очёчников,ɐt͡ɕɵʂnʲɪkəf
промоушн,prɐmoʊʂɨn
сушило,sʊʂɨɫə
нанизываете,nɐnʲizɨvəjɪtʲe
стирался,sʲtʲɪraɫs⁽ʲ⁾ə
холки,xɐɫkʲi
симметрию,sʲɪmʲɪtrʲijʊ
автодрому,ɐftɐdromʊ
жалками,ʐaɫkəmʲɪ
подскочило,pət͡sskɐt͡ɕiɫə
подгузниках,pɐdɡuzʲnʲɪkəx
оспариванию,ɐsparʲɪvənʲɪjʊ
засосы,zɐsosɨ
поставкам,pɐstafkəm
совмещаетесь,səvmʲɪɕːæjɪtʲɪsʲ
отдачах,ɐdːat͡ɕəx
заснимав,zəsʲnʲɪmaf
оттолкнуло,ɐtːɐɫknuɫə
бюстгальтеры,bʲʊzɡalʲtɨrɨ
выжжете,vɨʑːɪtʲe
старорусец,stərɐrusʲɪt͡s
герундия,ɡʲɪrunʲdʲɪjə
кольчугами,kɐlʲt͡ɕuɡəmʲɪ
молчи,mɐɫt͡ɕi
прикусим,prʲɪkusʲɪm
наплюйте,nɐplʲʉjtʲe
укладчик,ʊkɫat͡ɕːɪk
уранист,ʊrɐnʲist
подноготною,pədnɐɡotnəjʊ
назовут,nəzɐvut
запри,zɐprʲi
осадим,ɐsɐdʲim
отгибать,ɐdɡʲɪbatʲ
топнул,topnʊɫ
подбегаем,pədbʲɪɡajɪm
потешивший,pɐtʲeʂɨfʂɨj
мрут,mrut
копы,kɐpɨ
пазов,pɐzof
пшеницей,pʂɨnʲit͡sɨj
кощунством,kɐɕːunstvəm
обмирают,ɐbmʲɪrajʊt
ярмыш,jarmɨʂ
направляйтесь,nəprɐvlʲæjtʲɪsʲ
логинах,ɫɐɡʲinəx
утерпевши,ʊtʲɪrpʲefʂɨ
наличных,nɐlʲit͡ɕnɨx
утончаться,ʊtɐnʲt͡ɕat͡sːə
малышка,mɐɫɨʂkə
перемещаются,pʲɪrʲɪmʲɪɕːæjʊt͡sə
лондонцем,ɫondənt͡sɨm
льстила,lʲsʲtʲiɫə
мокшанами,mɐkʂanəmʲɪ
молят,molʲət
йотирования,jɪtʲirəvənʲɪjə
лапочкам,ɫapət͡ɕkəm
проломала,prəɫɐmaɫə
бездельниками,bʲɪzʲdʲelʲnʲɪkəmʲɪ
двигаясь,dvʲiɡəjɪsʲ
перелёта,pʲɪrʲɪlʲɵtə
вошкам,voʂkəm
еврейств,jɪvrʲejstf
щёлк,ɕːɵɫk
местностям,mʲesnəsʲtʲəm
сентябрьский,sʲɪnʲtʲabrʲskʲɪj
копьями,kop⁽ʲ⁾jəmʲɪ
удостоверивши,ʊdəstɐvʲerʲɪfʂɨ
миряне,mʲɪrʲænʲe
рогоносцу,rəɡɐnost͡sʊ
подступит,pɐt͡sstupʲɪt
демиургов,dʲɪmʲɪurɡəf
биооргаником,bʲiɐɐrɡanʲɪkəm
зашуршал,zəʂʊrʂaɫ
отмер,otmʲɪr
разостлал,rəzɐstɫaɫ
причаливший,prʲɪt͡ɕælʲɪfʂɨj
устанавливавши,ʊstɐnavlʲɪvəfʂɨ
откатите,ɐtkatʲɪtʲe
гае,ɡaje
достроиться,dɐstroɪt͡sə
аккумулятора,ɐkʊmʊlʲatərə
посверкиваем,pɐsvʲerkʲɪvəjɪm
льдины,lʲdʲinɨ
стояниях,stɐjænʲɪjəx
тупицами,tʊpʲit͡səmʲɪ
седлавши,sʲɪdɫafʂɨ
взбирается,vzbʲɪrajɪt͡sə
бульдоги,bʊlʲdoɡʲɪ
птицефабриках,ptʲɪt͡sɨfabrʲɪkəx
социализировали,sət͡sɨəlʲɪzʲirəvəlʲɪ
рыщи,rɨɕːɪ
убедившись,ʊbʲɪdʲifʂɨsʲ
колымчане,kəɫɨmt͡ɕænʲe
молотом,moɫətəm
возмещав,vəzmʲɪɕːaf
соблюдаете,səblʲʊdajɪtʲe
поролону,pərɐɫonʊ
франчайзинга,frɐnʲt͡ɕæjzʲɪnɡə
вероисповеданиями,vʲerəɪspɐvʲedənʲɪjəmʲɪ
потешило,pɐtʲeʂɨɫə
панорамой,pənɐraməj
целостью,t͡sɛɫəsʲtʲjʊ
откинете,ɐtkʲinʲɪtʲe
банк,bank
ветреницы,vʲetrʲɪnʲɪt͡sɨ
разбомбить,rəzbɐm⁽ʲ⁾bʲitʲ
заворачиваемся,zəvɐrat͡ɕɪvəjɪmsʲə
бактериофагом,bəktɨrʲɪɐfaɡəm
утаивало,ʊtaɪvəɫə
заглушали,zəɡɫʊʂalʲɪ
чудака,t͡ɕʊdɐka
словоизменениям,sɫəvəɪzmʲɪnʲenʲɪjəm
огрызали,ɐɡrɨzalʲɪ
пиздунами,pʲɪzdʊnamʲɪ
римский,rʲimskʲɪj
раздвинься,rɐzdvʲinʲsʲə
запускаюсь,zəpʊskajʉsʲ
следящий,s⁽ʲ⁾lʲɪdʲæɕːɪj
неясностей,nʲɪjasnəsʲtʲɪj
удивший,ʊdʲifʂɨj
насыщаю,nəsɨɕːæjʊ
крупой,krʊpoj
зажилило,zɐʐɨlʲɪɫə
кюветом,kʲʉvʲetəm
рутению,rʊtʲenʲɪjʊ
сползши,spoɫʂɨ
объектами,ɐbjektəmʲɪ
замахивайте,zɐmaxʲɪvəjtʲe
раздирав,rəzʲdʲɪraf
расступлюсь,rəsːtʊplʲʉsʲ
игрушка,ɪɡruʂkə
падежей,pədʲɪʐɛj
бульбашом,bʊlʲbɐʂom
верхушку,vʲɪrxuʂkʊ
иммунизаций,ɪmʊnʲɪzat͡sɨj
вперённый,f⁽ʲ⁾pʲɪrʲɵnːɨj
ужимай,ʊʐɨmaj
прошелестят,prəʂɨlʲɪsʲtʲat
отсчитывающий,ɐt͡ɕɕːitɨvəjʉɕːɪj
продолжают,prədɐɫʐajʊt
мстил,msʲtʲiɫ
отработавшийся,ɐtrɐbotəfʂɨjsʲə
вытягивающийся,vɨtʲæɡʲɪvəjʉɕːɪjsʲə
накрахмаливаю,nəkrɐxmalʲɪvəjʊ
неопределённостями,nʲɪəprʲɪdʲɪlʲɵnːəsʲtʲəmʲɪ
идолопоклонничество,idəɫəpɐkɫonʲːɪt͡ɕɪstvə
просвищет,prɐsvʲiɕːɪt
названивал,nɐzvanʲɪvəɫ
абсента,ɐpsɛntə
нахлобучивало,nəxɫɐbut͡ɕɪvəɫə
диез,dʲɪjes
учебниках,ʊt͡ɕebnʲɪkəx
азаны,ɐzanɨ
возрождались,vəzrɐʐdalʲɪsʲ
исправлением,ɪsprɐvlʲenʲɪjɪm
уволилось,ʊvolʲɪɫəsʲ
извлекавшись,ɪzvlʲɪkafʂɨsʲ
отрывалась,ɐtrɨvaɫəsʲ
отслуживай,ɐt͡ssɫuʐɨvəj
разгулявшийся,rəzɡʊlʲafʂɨjsʲə
сойка,sojkə
катаклизме,kətɐklʲizmʲe
закидывавший,zɐkʲidɨvəfʂɨj
рецидивист,rʲɪt͡sɨdʲɪvʲist
перемыкали,pʲɪrʲɪmɨkalʲɪ
воинствен,vɐinstvʲɪn
усмешками,ʊsmʲeʂkəmʲɪ
зыблитесь,zɨblʲɪtʲɪsʲ
закаплю,zɐkaplʲʊ
пропахший,prɐpaxʂɨj
покуривав,pɐkurʲɪvəf
выкроит,vɨkrəɪt
людоедам,lʲʊdɐjedəm
порнографам,pɐrnoɡrəfəm
засунет,zɐsunʲɪt
сбривали,zbrʲɪvalʲɪ
изжарьтесь,ɪʐːarʲtʲɪsʲ
пакостью,pakəsʲtʲjʊ
работа,rɐbotə
луженный,ɫuʐɨnːɨj
каймою,kɐjmojʊ
прославлялся,prəsɫɐvlʲaɫs⁽ʲ⁾ə
обязался,ɐbʲɪzaɫs⁽ʲ⁾ə
перепаивать,pʲɪrʲɪpaɪvətʲ
угадают,ʊɡɐdajʊt
отвердениях,ɐtvʲɪrdʲenʲɪjəx
разрывов,rɐzrɨvəf
автоматом,ɐftɐmatəm
закреплённый,zəkrʲɪplʲɵnːɨj
откалибровываемую,ɐtkəlʲɪbrovɨvəjɪmʊjʊ
сыпала,sɨpəɫə
зябнуть,zʲabnʊtʲ
раскрой,rɐskroj
продолжительности,prədɐɫʐɨtʲɪlʲnəsʲtʲɪ
разграбили,rɐzɡrabʲɪlʲɪ
альпинизма,ɐlʲpʲɪnʲizmə
острословах,ɐstrɐsɫovəx
проломите,prɐɫomʲɪtʲe
окрашивающий,ɐkraʂɨvəjʉɕːɪj
обнашивавши,ɐbnaʂɨvəfʂɨ
одуванчика,ɐdʊvanʲt͡ɕɪkə
кликухам,klʲɪkuxəm
бензовозам,bʲɪnzɐvozəm
прямиках,prʲɪmʲɪkax
герцогств,ɡʲert͡səkstf
рекордами,rʲɪkordəmʲɪ
затрясшись,zɐtrʲaʂːɨsʲ
позлати,pəzɫɐtʲi
панам,pɐnam
разыгравший,rəzɨɡrafʂɨj
призывники,prʲɪzɨvnʲɪkʲi
примирительный,prʲɪmʲɪrʲitʲɪlʲnɨj
егозой,jɪɡɐzoj
учли,ʊt͡ɕlʲi
обгрызёшь,ɐbɡrɨzʲɵʂ
тренировавши,trʲɪnʲɪrɐvafʂɨ
выговариваемся,vɨɡɐvarʲɪvəjɪmsʲə
ярусы,jarʊsɨ
прямоты,prʲɪmɐtɨ
упрощения,ʊprɐɕːenʲɪjə
проиндексируют,prəɪndɨksʲirʊjʊt
расчёсывающийся,rɐɕːɵsɨvəjʉɕːɪjsʲə
изошёл,ɪzɐʂoɫ
синюхе,sʲɪnʲʉxʲe
зашевелю,zəʂɨvʲɪlʲu
мотовездеходом,motəvʲɪzʲdʲɪxodəm
проскользнуло,prəskɐlʲznuɫə
затвердевший,zətvʲɪrdʲefʂɨj
корейский,kɐrʲejskʲɪj
дарим,darʲɪm
общаетесь,ɐpɕːæjɪtʲɪsʲ
увьёмся,ʊv⁽ʲ⁾jɵmsʲə
сожитии,sɐʐɨtʲɪɪ
нал,naɫ
подбоченивающийся,pədbɐt͡ɕenʲɪvəjʉɕːɪjsʲə
ежевичник,jɪʐɨvʲit͡ɕnʲɪk
отчеканенный,ɐt͡ɕːɪkanʲɪnːɨj
каетесь,kajɪtʲɪsʲ
соломинок,sɐɫomʲɪnək
заулыбалась,zəʊɫɨbaɫəsʲ
библиотекари,bʲɪblʲɪɐtʲekərʲɪ
отсутствуем,ɐt͡ssut͡stvʊjɪm
гелиотропов,ɡʲɪlʲɪɐtropəf
агни,ɐɡnʲi
гуревич,ɡʊrʲevʲɪt͡ɕ
шлангбалкой,ʂɫɐnɡbaɫkəj
пронёсшись,prɐnʲɵʂːɨsʲ
текстили,tʲɪksʲtʲɪlʲi
расчищаем,rəɕt͡ɕɪɕːæjɪm
дискредитированный,dʲɪskrʲɪdʲɪtʲirəvənːɨj
осуществить,ɐsʊɕːɪstvʲitʲ
уважаю,ʊvɐʐajʊ
стареющий,stɐrʲejʉɕːɪj
совещаниям,səvʲɪɕːænʲɪjəm
скарлатин,skərɫɐtʲin
книге,knʲiɡʲe
котдивуарцем,kodʲːɪvʊart͡sɨm
пропорций,prɐport͡sɨj
восьмигранниками,vəsʲmʲɪɡranʲːɪkəmʲɪ
реагированиях,rʲɪɐɡʲirəvənʲɪjəx
горельефе,ɡərʲɪlʲjefʲe
обуеваемый,ɐbʊjɪvajɪmɨj
пескаре,pʲɪskɐrʲe
населяйте,nəsʲɪlʲæjtʲe
физрукам,fʲɪzrukəm
мастери,məsʲtʲɪrʲi
внемлет,vnʲemlʲɪt
пыхтите,pɨxtʲitʲe
сытостью,sɨtəsʲtʲjʊ
опресняемый,ɐprʲɪsʲnʲæjɪmɨj
аборигеном,ɐbərʲɪɡʲenəm
тку,tku
волочильню,vəɫɐt͡ɕilʲnʲʊ
возместим,vəzmʲɪsʲtʲim
частностью,t͡ɕasnəsʲtʲjʊ
напутствовали,nɐput͡stvəvəlʲɪ
факультетов,fəkʊlʲtʲetəf
херачивший,xʲɪrat͡ɕɪfʂɨj
ордером,ordʲɪrəm
истлеешь,ɪstlʲejɪʂ
снарядами,snɐrʲadəmʲɪ
плюсны,plʲusnɨ
официант,ɐfʲɪt͡sant
заостряли,zɐɐstrʲælʲɪ
подвергаемся,pədvʲɪrɡajɪmsʲə
сенатам,sʲɪnatəm
плазменный,pɫazʲmʲɪnːɨj
изгоните,ɪzɡɐnʲitʲe
мокроту,mɐkrotʊ
кукарекав,kʊkɐrʲekəf
хладнокровиям,xɫədnɐkrovʲɪjəm
взрастив,vzrɐsʲtʲif
диктует,dʲɪktujɪt
обгорав,ɐbɡɐraf
скандальте,skɐndalʲtʲe
заслышанный,zɐsɫɨʂənːɨj
корка,korkə
воссела,vɐsʲːeɫə
обломивший,ɐbɫɐmʲifʂɨj
белорусский,bʲɪɫɐruskʲɪj
отблесками,odblʲɪskəmʲɪ
брань,branʲ
старшинстве,stərʂɨnstvʲe
асплениям,ɐsplʲɪnʲijəm
бессмысленности,bʲɪsːmɨs⁽ʲ⁾lʲɪnːəsʲtʲɪ
кислота,kʲɪsɫɐta
лепёшках,lʲɪpʲɵʂkəx
вечереть,vʲɪt͡ɕɪrʲetʲ
примащиваемся,prʲɪmaɕːɪvəjɪmsʲə
вывёртывала,vɨvʲɵrtɨvəɫə
рожек,roʐɨk
гранки,ɡrankʲɪ
парижанам,pərʲɪʐanəm
упаковывал,ʊpɐkovɨvəɫ
развернёшь,rəzvʲɪrnʲɵʂ
сводничаете,svodʲnʲɪt͡ɕɪjɪtʲe
схватился,sxvɐtʲiɫs⁽ʲ⁾ə
осторожность,ɐstɐroʐnəsʲtʲ
розочку,rozət͡ɕkʊ
коммерсантов,kəmʲɪrsantəf
тугриком,tuɡrʲɪkəm
консонантах,kənsɐnantəx
сталкерами,staɫkʲɪrəmʲɪ
морсов,morsəf
нырком,nɨrkom
ощутила,ɐɕːʉtʲiɫə
уяснивший,ʊjɪsʲnʲifʂɨj
копиться,kɐpʲit͡sːə
паровозик,pərɐvozʲɪk
подтекст,pɐtʲːekst
онемеешь,ɐnʲɪmʲejɪʂ
юпитерами,jʉpʲitʲɪrəmʲɪ
заключительный,zəklʲʉt͡ɕitʲɪlʲnɨj
семиугольнике,sʲɪmʲɪʊɡolʲnʲɪkʲe
сюжет,sʲʊʐɛt
развеваешься,rəzvʲɪvajɪʂsʲə
бедре,bʲɪdrʲe
нальют,nɐlʲjut
околесиц,ɐkɐlʲesʲɪt͡s
болтунах,bəɫtʊnax
выкрашивали,vɨkraʂɨvəlʲɪ
преодолевайте,prʲɪədəlʲɪvajtʲe
гужом,ɡʊʐom
выкрикни,vɨkrʲɪknʲɪ
почерпаемый,pət͡ɕɪrpajɪmɨj
надъедай,nədjɪdaj
вето,vʲetə
распутствах,rɐsput͡stvəx
холмиком,xoɫmʲɪkəm
катодолюминесценции,kɐtodəlʲʉmʲɪnʲɪst͡sɛnt͡sɨɪ
протыкают,prɐtɨkəjʊt
кишлаками,kʲɪʂɫɐkamʲɪ
отгуливает,ɐdɡulʲɪvəjɪt
отделывавшись,ɐdʲːeɫɨvəfʂɨsʲ
печёнках,pʲɪt͡ɕɵnkəx
задвинувши,zɐdvʲinʊfʂɨ
ректор,rʲektər
мыслила,mɨs⁽ʲ⁾lʲɪɫə
расследование,rɐs⁽ʲ⁾ːlʲedəvənʲɪje
выслуг,vɨsɫʊk
злодеянию,zɫədʲɪjænʲɪjʊ
выставочный,vɨstəvət͡ɕnɨj
раздобреть,rəzdɐbrʲetʲ
зовах,zovəx
спохватилась,spəxvɐtʲiɫəsʲ
баскского,baskskəvə
фонограммы,fənɐɡramːɨ
нечисть,nʲet͡ɕɪsʲtʲ
отруба,ɐtrʊba
антропоморфизма,ɐntrəpəmɐrfʲizmə
откалибровывавшим,ɐtkəlʲɪbrovɨvəfʂɨm
стройнить,strɐjnʲitʲ
урви,ʊrvʲi
привалитесь,prʲɪvalʲɪtʲɪsʲ
унимаю,ʊnʲɪmajʊ
эпитет,ɪpʲitʲɪt
перетаскиваешь,pʲɪrʲɪtaskʲɪvəjɪʂ
поднялся,pɐdʲnʲaɫs⁽ʲ⁾ə
минуете,mʲɪnujɪtʲe
нравоучение,nrəvəʊt͡ɕenʲɪje
знакомитесь,znɐkomʲɪtʲɪsʲ
начаться,nɐt͡ɕat͡sːə
пакту,paktʊ
развеял,rɐzvʲejɪɫ
заступимся,zɐstupʲɪmsʲə
подслащиваю,pɐt͡ssɫaɕːɪvəjʊ
молится,molʲɪt͡sə
увить,ʊvʲitʲ
упорствующий,ʊporstvʊjʉɕːɪj
затягивайся,zɐtʲæɡʲɪvəjsʲə
размягчавший,rəzmʲɪxt͡ɕafʂɨj
учащихся,ʊt͡ɕæɕːɪxsʲə
